id,code,description,category
298,A699,"SPIROCHAETAL INFECTION, UNSPECIFIED",1
299,A70X,CHLAMYDIA PSITTACI INFECTION,1
300,A710,INITIAL STAGE OF TRACHOMA,1
301,A711,ACTIVE STAGE OF TRACHOMA,1
302,A719,"TRACHOMA, UNSPECIFIED",1
303,A740,CHLAMYDIAL CONJUNCTIVITIS,1
304,A748,OTHER CHLAMYDIAL DISEASES,1
305,A749,"CHLAMYDIAL INFECTION, UNSPECIFIED",1
306,A750,EPIDEMIC LOUSE-BORNE TYPHUS FEVER DUE TO RICKETTSIA PROWAZEKII,1
307,A751,RECRUDESCENT TYPHUS [BRILL'S DISEASE],1
308,A752,TYPHUS FEVER DUE TO RICKETTSIA TYPHI,1
309,A753,TYPHUS FEVER DUE TO RICKETTSIA TSUTSUGAMUSHI,1
310,A759,"TYPHUS FEVER, UNSPECIFIED",1
311,A770,SPOTTED FEVER DUE TO RICKETTSIA RICKETTSII,1
312,A771,SPOTTED FEVER DUE TO RICKETTSIA CONORII,1
313,A772,SPOTTED FEVER DUE TO RICKETTSIA SIBIRICA,1
314,A773,SPOTTED FEVER DUE TO RICKETTSIA AUSTRALIS,1
315,A778,OTHER SPOTTED FEVERS,1
316,A779,"SPOTTED FEVER, UNSPECIFIED",1
317,A78X,Q FEVER,1
318,A790,TRENCH FEVER,1
319,A791,RICKETTSIALPOX DUE TO RICKETTSIA AKARI,1
320,A798,OTHER SPECIFIED RICKETTSIOSES,1
321,A799,"RICKETTSIOSIS, UNSPECIFIED",1
322,A800,"ACUTE PARALYTIC POLIOMYELITIS, VACCINE-ASSOCIATED",1
323,A801,"ACUTE PARALYTIC POLIOMYELITIS, WILD VIRUS, IMPORTED",1
324,A802,"ACUTE PARALYTIC POLIOMYELITIS, WILD VIRUS, INDIGENOUS",1
325,A803,"ACUTE PARALYTIC POLIOMYELITIS, OTHER AND UNSPECIFIED",1
326,A804,ACUTE NONPARALYTIC POLIOMYELITIS,1
327,A809,"ACUTE POLIOMYELITIS, UNSPECIFIED",1
328,A810,CREUTZFELDT-JAKOB DISEASE,1
329,A811,SUBACUTE SCLEROSING PANENCEPHALITIS,1
330,A812,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,1
331,A818,OTHER ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM,1
332,A819,"ATYPICAL VIRUS INFECTION OF CENTRAL NERVOUS SYSTEM, UNSPECIFIED",1
333,A820,SYLVATIC RABIES,1
334,A821,URBAN RABIES,1
335,A829,"RABIES, UNSPECIFIED",1
336,A830,JAPANESE ENCEPHALITIS,1
337,A831,WESTERN EQUINE ENCEPHALITIS,1
338,A832,EASTERN EQUINE ENCEPHALITIS,1
339,A833,ST LOUIS ENCEPHALITIS,1
340,A834,AUSTRALIAN ENCEPHALITIS,1
341,A835,CALIFORNIA ENCEPHALITIS,1
342,A836,ROCIO VIRUS DISEASE,1
343,A838,OTHER MOSQUITO-BORNE VIRAL ENCEPHALITIS,1
344,A839,"MOSQUITO-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",1
345,A840,FAR EASTERN TICK-BORNE ENCEPHALITIS [RUSSIAN SPRING-SUMMER ENCEPHALITIS],1
346,A841,CENTRAL EUROPEAN TICK-BORNE ENCEPHALITIS,1
347,A848,OTHER TICK-BORNE VIRAL ENCEPHALITIS,1
348,A849,"TICK-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",1
349,A850,ENTEROVIRAL ENCEPHALITIS,1
350,A851,ADENOVIRAL ENCEPHALITIS,1
351,A852,"ARTHROPOD-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",1
352,A858,OTHER SPECIFIED VIRAL ENCEPHALITIS,1
353,A86X,UNSPECIFIED VIRAL ENCEPHALITIS,1
354,A870,ENTEROVIRAL MENINGITIS,1
355,A871,ADENOVIRAL MENINGITIS,1
356,A872,LYMPHOCYTIC CHORIOMENINGITIS,1
357,A878,OTHER VIRAL MENINGITIS,1
358,A879,"VIRAL MENINGITIS, UNSPECIFIED",1
359,A880,ENTEROVIRAL EXANTHEMATOUS FEVER [BOSTON EXANTHEM],1
360,A881,EPIDEMIC VERTIGO,1
361,A888,OTHER SPECIFIED VIRAL INFECTIONS OF CENTRAL NERVOUS SYSTEM,1
362,A89X,UNSPECIFIED VIRAL INFECTION OF CENTRAL NERVOUS SYSTEM,1
363,A90X,DENGUE FEVER [CLASSICAL DENGUE],1
364,A91X,DENGUE HAEMORRHAGIC FEVER,1
365,A920,CHIKUNGUNYA VIRUS DISEASE,1
366,A921,O'NYONG-NYONG FEVER,1
367,A922,VENEZUELAN EQUINE FEVER,1
368,A923,WEST NILE VIRUS INFECTION,1
369,A924,RIFT VALLEY FEVER,1
370,A928,OTHER SPECIFIED MOSQUITO-BORNE VIRAL FEVERS,1
371,A929,"MOSQUITO-BORNE VIRAL FEVER, UNSPECIFIED",1
372,A930,OROPOUCHE VIRUS DISEASE,1
373,A931,SANDFLY FEVER,1
374,A932,COLORADO TICK FEVER,1
375,A938,OTHER SPECIFIED ARTHROPOD-BORNE VIRAL FEVERS,1
376,A94X,UNSPECIFIED ARTHROPOD-BORNE VIRAL FEVER,1
377,A950,SYLVATIC YELLOW FEVER,1
378,A951,URBAN YELLOW FEVER,1
379,A959,"YELLOW FEVER, UNSPECIFIED",1
380,A960,JUNIN HAEMORRHAGIC FEVER,1
381,A961,MACHUPO HAEMORRHAGIC FEVER,1
382,A962,LASSA FEVER,1
383,A968,OTHER ARENAVIRAL HAEMORRHAGIC FEVERS,1
384,A969,"ARENAVIRAL HAEMORRHAGIC FEVER, UNSPECIFIED",1
385,A980,CRIMEAN-CONGO HAEMORRHAGIC FEVER,1
386,A981,OMSK HAEMORRHAGIC FEVER,1
387,A982,KYASANUR FOREST DISEASE,1
388,A983,MARBURG VIRUS DISEASE,1
389,A984,EBOLA VIRUS DISEASE,1
390,A985,HAEMORRHAGIC FEVER WITH RENAL SYNDROME,1
391,A988,OTHER SPECIFIED VIRAL HAEMORRHAGIC FEVERS,1
392,A99X,UNSPECIFIED VIRAL HAEMORRHAGIC FEVER,1
393,B000,ECZEMA HERPETICUM,1
394,B001,HERPESVIRAL VESICULAR DERMATITIS,1
395,B002,HERPESVIRAL GINGIVOSTOMATITIS AND PHARYNGOTONSILLITIS,1
396,B003,HERPESVIRAL MENINGITIS,1
397,B004,HERPESVIRAL ENCEPHALITIS,1
398,B005,HERPESVIRAL OCULAR DISEASE,1
399,B007,DISSEMINATED HERPESVIRAL DISEASE,1
400,B008,OTHER FORMS OF HERPESVIRAL INFECTION,1
401,B009,"HERPESVIRAL INFECTION, UNSPECIFIED",1
402,B010,VARICELLA MENINGITIS,1
403,B011,VARICELLA ENCEPHALITIS,1
404,B012,VARICELLA PNEUMONIA,1
405,B018,VARICELLA WITH OTHER COMPLICATIONS,1
406,B019,VARICELLA WITHOUT COMPLICATION,1
407,B020,ZOSTER ENCEPHALITIS,1
408,B021,ZOSTER MENINGITIS,1
409,B022,ZOSTER WITH OTHER NERVOUS SYSTEM INVOLVEMENT,1
410,B023,ZOSTER OCULAR DISEASE,1
411,B027,DISSEMINATED ZOSTER,1
412,B028,ZOSTER WITH OTHER COMPLICATIONS,1
413,B029,ZOSTER WITHOUT COMPLICATION,1
414,B03X,SMALLPOX,1
415,B04X,MONKEYPOX,1
416,B050,MEASLES COMPLICATED BY ENCEPHALITIS,1
417,B051,MEASLES COMPLICATED BY MENINGITIS,1
418,B052,MEASLES COMPLICATED BY PNEUMONIA,1
419,B053,MEASLES COMPLICATED BY OTITIS MEDIA,1
420,B054,MEASLES WITH INTESTINAL COMPLICATIONS,1
421,B058,MEASLES WITH OTHER COMPLICATIONS,1
422,B059,MEASLES WITHOUT COMPLICATION,1
423,B060,RUBELLA WITH NEUROLOGICAL COMPLICATIONS,1
424,B068,RUBELLA WITH OTHER COMPLICATIONS,1
425,B069,RUBELLA WITHOUT COMPLICATION,1
426,B07X,VIRAL WARTS,1
427,B080,OTHER ORTHOPOXVIRUS INFECTIONS,1
