id,description,icd
35,OTHER SPECIFIED BACTERIAL FOODBORNE INTOXICATIONS,35
36,BACTERIAL FOODBORNE INTOXICATION UNSPECIFIED,36
37,ACUTE AMOEBIC DYSENTERY,37
38,CHRONIC INTESTINAL AMOEBIASIS,38
39,AMOEBIC NONDYSENTERIC COLITIS,39
40,AMOEBOMA OF INTESTINE,40
41,AMOEBIC LIVER ABSCESS,41
42,AMOEBIC LUNG ABSCESS,42
43,AMOEBIC BRAIN ABSCESS,43
44,CUTANEOUS AMOEBIASIS,44
45,AMOEBIC INFECTION OF OTHER SITES,45
46,AMOEBIASIS UNSPECIFIED,46
47,BALANTIDIASIS,47
48,GIARDIASIS LAMBLIASIS,48
49,CRYPTOSPORIDIOSIS,49
50,ISOSPORIASIS,50
51,OTHER SPECIFIED PROTOZOAL INTESTINAL DISEASES,51
52,PROTOZOAL INTESTINAL DISEASE UNSPECIFIED,52
53,ROTAVIRAL ENTERITIS,53
54,ACUTE GASTROENTEROPATHY DUE TO NORWALK AGENT,54
55,ADENOVIRAL ENTERITIS,55
56,OTHER VIRAL ENTERITIS,56
57,VIRAL INTESTINAL INFECTION UNSPECIFIED,57
58,OTHER SPECIFIED INTESTINAL INFECTIONS,58
59,DIARRHOEA AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN,59
60,TUBERCULOSIS OF LUNG CONFIRMED BY SPUTUM MICROSCOPY WITH OR WITHOUT CULTURE,60
61,TUBERCULOSIS OF LUNG CONFIRMED BY CULTURE ONLY,61
62,TUBERCULOSIS OF LUNG CONFIRMED HISTOLOGICALLY,62
63,TUBERCULOSIS OF LUNG CONFIRMED BY UNSPECIFIED MEANS,63
64,TUBERCULOSIS OF INTRATHORACIC LYMPH NODES CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,64
65,TUBERCULOSIS OF LARYNX TRACHEA AND BRONCHUS CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,65
66,TUBERCULOUS PLEURISY CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,66
67,PRIMARY RESPIRATORY TUBERCULOSIS CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,67
68,OTHER RESPIRATORY TUBERCULOSIS CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,68
69,RESPIRATORY TUBERCULOSIS UNSPECIFIED CONFIRMED BACTERIOLOGICALLY AND HISTOLOGICALLY,69
70,TUBERCULOSIS OF LUNG BACTERIOLOGICALLY AND HISTOLOGICALLY NEGATIVE,70
71,TUBERCULOSIS OF LUNG BACTERIOLOGICAL AND HISTOLOGICAL EXAMINATION NOT DONE,71
72,TUBERCULOSIS OF LUNG WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,72
73,TUBERCULOSIS OF INTRATHORACIC LYMPH NODES WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,73
74,TUBERCULOSIS OF LARYNX TRACHEA AND BRONCHUS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,74
75,TUBERCULOUS PLEURISY WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,75
76,PRIMARY RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,76
77,OTHER RESPIRATORY TUBERCULOSIS WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,77
78,RESPIRATORY TUBERCULOSIS UNSPECIFIED WITHOUT MENTION OF BACTERIOLOGICAL OR HISTOLOGICAL CONFIRMATION,78
79,TUBERCULOUS MENINGITIS,79
80,MENINGEAL TUBERCULOMA,80
81,OTHER TUBERCULOSIS OF NERVOUS SYSTEM,81
82,TUBERCULOSIS OF NERVOUS SYSTEM UNSPECIFIED,82
83,TUBERCULOSIS OF BONES AND JOINTS,83
84,TUBERCULOSIS OF GENITOURINARY SYSTEM,84
85,TUBERCULOUS PERIPHERAL LYMPHADENOPATHY,85
86,TUBERCULOSIS OF INTESTINES PERITONEUM AND MESENTERIC GLANDS,86
87,TUBERCULOSIS OF SKIN AND SUBCUTANEOUS TISSUE,87
88,TUBERCULOSIS OF EYE,88
89,TUBERCULOSIS OF EAR,89
90,TUBERCULOSIS OF ADRENAL GLANDS,90
91,TUBERCULOSIS OF OTHER SPECIFIED ORGANS,91
92,ACUTE MILIARY TUBERCULOSIS OF A SINGLE SPECIFIED SITE,92
93,ACUTE MILIARY TUBERCULOSIS OF MULTIPLE SITES,93
94,ACUTE MILIARY TUBERCULOSIS UNSPECIFIED,94
95,OTHER MILIARY TUBERCULOSIS,95
96,MILIARY TUBERCULOSIS UNSPECIFIED,96
97,BUBONIC PLAGUE,97
98,CELLULOCUTANEOUS PLAGUE,98
99,PNEUMONIC PLAGUE,99
100,PLAGUE MENINGITIS,100
101,SEPTICAEMIC PLAGUE,101
102,OTHER FORMS OF PLAGUE,102
103,PLAGUE UNSPECIFIED,103
104,ULCEROGLANDULAR TULARAEMIA,104
105,OCULOGLANDULAR TULARAEMIA,105
106,PULMONARY TULARAEMIA,106
107,GASTROINTESTINAL TULARAEMIA,107
108,GENERALIZED TULARAEMIA,108
109,OTHER FORMS OF TULARAEMIA,109
110,TULARAEMIA UNSPECIFIED,110
111,CUTANEOUS ANTHRAX,111
112,PULMONARY ANTHRAX,112
113,GASTROINTESTINAL ANTHRAX,113
114,ANTHRAX SEPTICAEMIA,114
115,OTHER FORMS OF ANTHRAX,115
116,ANTHRAX UNSPECIFIED,116
117,BRUCELLOSIS DUE TO BRUCELLA MELITENSIS,117
118,BRUCELLOSIS DUE TO BRUCELLA ABORTUS,118
119,BRUCELLOSIS DUE TO BRUCELLA SUIS,119
120,BRUCELLOSIS DUE TO BRUCELLA CANIS,120
121,OTHER BRUCELLOSIS,121
122,BRUCELLOSIS UNSPECIFIED,122
123,GLANDERS,123
124,ACUTE AND FULMINATING MELIOIDOSIS,124
125,SUBACUTE AND CHRONIC MELIOIDOSIS,125
126,OTHER MELIOIDOSIS,126
127,MELIOIDOSIS UNSPECIFIED,127
128,SPIRILLOSIS,128
129,STREPTOBACILLOSIS,129
130,RAT BITE FEVER UNSPECIFIED,130
131,CUTANEOUS ERYSIPELOID,131
132,ERYSIPELOTHRIX SEPTICAEMIA,132
133,OTHER FORMS OF ERYSIPELOID,133
134,ERYSIPELOID UNSPECIFIED,134
135,LEPTOSPIROSIS ICTEROHAEMORRHAGICA,135
136,OTHER FORMS OF LEPTOSPIROSIS,136
137,LEPTOSPIROSIS UNSPECIFIED,137
138,PASTEURELLOSIS,138
139,CAT SCRATCH DISEASE,139
140,EXTRAINTESTINAL YERSINIOSIS,140
141,OTHER SPECIFIED ZOONOTIC BACTERIAL DISEASES NOT ELSEWHERE CLASSIFIED,141
142,ZOONOTIC BACTERIAL DISEASE UNSPECIFIED,142
143,INDETERMINATE LEPROSY,143
144,TUBERCULOID LEPROSY,144
145,BORDERLINE TUBERCULOID LEPROSY,145
146,BORDERLINE LEPROSY,146
147,BORDERLINE LEPROMATOUS LEPROSY,147
148,LEPROMATOUS LEPROSY,148
149,OTHER FORMS OF LEPROSY,149
150,LEPROSY UNSPECIFIED,150
151,PULMONARY MYCOBACTERIAL INFECTION,151
152,CUTANEOUS MYCOBACTERIAL INFECTION,152
153,OTHER MYCOBACTERIAL INFECTIONS,153
154,MYCOBACTERIAL INFECTION UNSPECIFIED,154
155,CUTANEOUS LISTERIOSIS,155
156,LISTERIAL MENINGITIS AND MENINGOENCEPHALITIS,156
157,LISTERIAL SEPTICAEMIA,157
158,OTHER FORMS OF LISTERIOSIS,158
159,LISTERIOSIS UNSPECIFIED,159
160,TETANUS NEONATORUM,160
161,OBSTETRICAL TETANUS,161
162,OTHER TETANUS,162
163,PHARYNGEAL DIPHTHERIA,163
164,NASOPHARYNGEAL DIPHTHERIA,164
165,LARYNGEAL DIPHTHERIA,165
166,CUTANEOUS DIPHTHERIA,166
167,OTHER DIPHTHERIA,167
168,DIPHTHERIA UNSPECIFIED,168
169,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS,169
170,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS,170
171,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES,171
172,WHOOPING COUGH UNSPECIFIED,172
173,SCARLET FEVER,173
174,MENINGOCOCCAL MENINGITIS,174
175,WATERHOUSE FRIDERICHSEN SYNDROME,175
176,ACUTE MENINGOCOCCAEMIA,176
177,CHRONIC MENINGOCOCCAEMIA,177
178,MENINGOCOCCAEMIA UNSPECIFIED,178
179,MENINGOCOCCAL HEART DISEASE,179
180,OTHER MENINGOCOCCAL INFECTIONS,180
181,MENINGOCOCCAL INFECTION UNSPECIFIED,181
182,SEPTICAEMIA DUE TO STREPTOCOCCUS GROUP A,182
183,SEPTICAEMIA DUE TO STREPTOCOCCUS GROUP B,183
184,SEPTICAEMIA DUE TO STREPTOCOCCUS GROUP D,184
185,SEPTICAEMIA DUE TO STREPTOCOCCUS PNEUMONIAE,185
186,OTHER STREPTOCOCCAL SEPTICAEMIA,186
187,STREPTOCOCCAL SEPTICAEMIA UNSPECIFIED,187
188,SEPTICAEMIA DUE TO STAPHYLOCOCCUS AUREUS,188
189,SEPTICAEMIA DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,189
190,SEPTICAEMIA DUE TO UNSPECIFIED STAPHYLOCOCCUS,190
191,SEPTICAEMIA DUE TO HAEMOPHILUS INFLUENZAE,191
192,SEPTICAEMIA DUE TO ANAEROBES,192
193,SEPTICAEMIA DUE TO OTHER GRAM NEGATIVE ORGANISMS,193
194,OTHER SPECIFIED SEPTICAEMIA,194
195,SEPTICAEMIA UNSPECIFIED,195
196,PULMONARY ACTINOMYCOSIS,196
197,ABDOMINAL ACTINOMYCOSIS,197
198,CERVICOFACIAL ACTINOMYCOSIS,198
199,ACTINOMYCOTIC SEPTICAEMIA,199
200,OTHER FORMS OF ACTINOMYCOSIS,200
201,ACTINOMYCOSIS UNSPECIFIED,201
202,PULMONARY NOCARDIOSIS,202
203,CUTANEOUS NOCARDIOSIS,203
204,OTHER FORMS OF NOCARDIOSIS,204
205,NOCARDIOSIS UNSPECIFIED,205
206,SYSTEMIC BARTONELLOSIS,206
207,CUTANEOUS AND MUCOCUTANEOUS BARTONELLOSIS,207
208,OTHER FORMS OF BARTONELLOSIS,208
209,BARTONELLOSIS UNSPECIFIED,209
210,ERYSIPELAS,210
211,GAS GANGRENE,211
212,LEGIONNAIRES DISEASE,212
213,NONPNEUMONIC LEGIONNAIRES DISEASE PONTIAC FEVER,213
214,TOXIC SHOCK SYNDROME,214
215,BRAZILIAN PURPURIC FEVER,215
216,OTHER SPECIFIED BACTERIAL DISEASES,216
217,STAPHYLOCOCCAL INFECTION UNSPECIFIED SITE,217
218,STREPTOCOCCAL INFECTION UNSPECIFIED SITE,218
219,HAEMOPHILUS INFLUENZAE INFECTION UNSPECIFIED SITE,219
220,MYCOPLASMA INFECTION UNSPECIFIED SITE,220
221,OTHER BACTERIAL INFECTIONS OF UNSPECIFIED SITE,221
222,BACTERIAL INFECTION UNSPECIFIED,222
223,EARLY CONGENITAL SYPHILIS SYMPTOMATIC,223
224,EARLY CONGENITAL SYPHILIS LATENT,224
225,EARLY CONGENITAL SYPHILIS UNSPECIFIED,225
226,LATE CONGENITAL SYPHILITIC OCULOPATHY,226
227,LATE CONGENITAL NEUROSYPHILIS JUVENILE NEUROSYPHILIS,227
228,OTHER LATE CONGENITAL SYPHILIS SYMPTOMATIC,228
229,LATE CONGENITAL SYPHILIS LATENT,229
230,LATE CONGENITAL SYPHILIS UNSPECIFIED,230
231,CONGENITAL SYPHILIS UNSPECIFIED,231
232,PRIMARY GENITAL SYPHILIS,232
233,PRIMARY ANAL SYPHILIS,233
234,PRIMARY SYPHILIS OF OTHER SITES,234
235,SECONDARY SYPHILIS OF SKIN AND MUCOUS MEMBRANES,235
236,OTHER SECONDARY SYPHILIS,236
237,EARLY SYPHILIS LATENT,237
238,EARLY SYPHILIS UNSPECIFIED,238
239,CARDIOVASCULAR SYPHILIS,239
240,SYMPTOMATIC NEUROSYPHILIS,240
241,ASYMPTOMATIC NEUROSYPHILIS,241
242,NEUROSYPHILIS UNSPECIFIED,242
243,OTHER SYMPTOMATIC LATE SYPHILIS,243
244,LATE SYPHILIS LATENT,244
245,LATE SYPHILIS UNSPECIFIED,245
246,LATENT SYPHILIS UNSPECIFIED AS EARLY OR LATE,246
247,SYPHILIS UNSPECIFIED,247
248,GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT WITHOUT PERIURETHRAL OR ACCESSORY GLAND ABSCESS,248
249,GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT WITH PERIURETHRAL AND ACCESSORY GLAND ABSCESS,249
250,GONOCOCCAL PELVIPERITONITIS AND OTHER GONOCOCCAL GENITOURINARY INFECTIONS,250
251,GONOCOCCAL INFECTION OF EYE,251
252,GONOCOCCAL INFECTION OF MUSCULOSKELETAL SYSTEM,252
253,GONOCOCCAL PHARYNGITIS,253
254,GONOCOCCAL INFECTION OF ANUS AND RECTUM,254
255,OTHER GONOCOCCAL INFECTIONS,255
256,GONOCOCCAL INFECTION UNSPECIFIED,256
257,CHLAMYDIAL LYMPHOGRANULOMA VENEREUM,257
258,CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT,258
259,CHLAMYDIAL INFECTION OF PELVIPERITONEUM AND OTHER GENITOURINARY ORGANS,259
260,CHLAMYDIAL INFECTION OF GENITOURINARY TRACT UNSPECIFIED,260
261,CHLAMYDIAL INFECTION OF ANUS AND RECTUM,261
262,CHLAMYDIAL INFECTION OF PHARYNX,262
263,SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES,263
264,CHANCROID,264
265,GRANULOMA INGUINALE,265
266,UROGENITAL TRICHOMONIASIS,266
267,TRICHOMONIASIS OF OTHER SITES,267
268,TRICHOMONIASIS UNSPECIFIED,268
269,HERPESVIRAL INFECTION OF GENITALIA AND UROGENITAL TRACT,269
270,HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM,270
271,ANOGENITAL HERPESVIRAL INFECTION UNSPECIFIED,271
272,ANOGENITAL VENEREAL WARTS,272
273,OTHER SPECIFIED PREDOMINANTLY SEXUALLY TRANSMITTED DISEASES,273
274,UNSPECIFIED SEXUALLY TRANSMITTED DISEASE,274
275,NONVENEREAL SYPHILIS,275
276,INITIAL LESIONS OF YAWS,276
277,MULTIPLE PAPILLOMATA AND WET CRAB YAWS,277
278,OTHER EARLY SKIN LESIONS OF YAWS,278
279,HYPERKERATOSIS OF YAWS,279
280,GUMMATA AND ULCERS OF YAWS,280
281,GANGOSA,281
282,BONE AND JOINT LESIONS OF YAWS,282
283,OTHER MANIFESTATIONS OF YAWS,283
284,LATENT YAWS,284
285,YAWS UNSPECIFIED,285
286,PRIMARY LESIONS OF PINTA,286
287,INTERMEDIATE LESIONS OF PINTA,287
288,LATE LESIONS OF PINTA,288
289,MIXED LESIONS OF PINTA,289
290,PINTA UNSPECIFIED,290
291,LOUSE BORNE RELAPSING FEVER,291
292,TICK BORNE RELAPSING FEVER,292
293,RELAPSING FEVER UNSPECIFIED,293
294,NECROTIZING ULCERATIVE STOMATITIS,294
295,OTHER VINCENT S INFECTIONS,295
296,LYME DISEASE,296
297,OTHER SPECIFIED SPIROCHAETAL INFECTIONS,297
298,SPIROCHAETAL INFECTION UNSPECIFIED,298
299,CHLAMYDIA PSITTACI INFECTION,299
300,INITIAL STAGE OF TRACHOMA,300
301,ACTIVE STAGE OF TRACHOMA,301
302,TRACHOMA UNSPECIFIED,302
303,CHLAMYDIAL CONJUNCTIVITIS,303
304,OTHER CHLAMYDIAL DISEASES,304
305,CHLAMYDIAL INFECTION UNSPECIFIED,305
306,EPIDEMIC LOUSE BORNE TYPHUS FEVER DUE TO RICKETTSIA PROWAZEKII,306
307,RECRUDESCENT TYPHUS BRILL S DISEASE,307
308,TYPHUS FEVER DUE TO RICKETTSIA TYPHI,308
309,TYPHUS FEVER DUE TO RICKETTSIA TSUTSUGAMUSHI,309
310,TYPHUS FEVER UNSPECIFIED,310
311,SPOTTED FEVER DUE TO RICKETTSIA RICKETTSII,311
312,SPOTTED FEVER DUE TO RICKETTSIA CONORII,312
313,SPOTTED FEVER DUE TO RICKETTSIA SIBIRICA,313
314,SPOTTED FEVER DUE TO RICKETTSIA AUSTRALIS,314
315,OTHER SPOTTED FEVERS,315
316,SPOTTED FEVER UNSPECIFIED,316
317,Q FEVER,317
318,TRENCH FEVER,318
319,RICKETTSIALPOX DUE TO RICKETTSIA AKARI,319
320,OTHER SPECIFIED RICKETTSIOSES,320
321,RICKETTSIOSIS UNSPECIFIED,321
322,ACUTE PARALYTIC POLIOMYELITIS VACCINE ASSOCIATED,322
323,ACUTE PARALYTIC POLIOMYELITIS WILD VIRUS IMPORTED,323
324,ACUTE PARALYTIC POLIOMYELITIS WILD VIRUS INDIGENOUS,324
325,ACUTE PARALYTIC POLIOMYELITIS OTHER AND UNSPECIFIED,325
326,ACUTE NONPARALYTIC POLIOMYELITIS,326
327,ACUTE POLIOMYELITIS UNSPECIFIED,327
328,CREUTZFELDT JAKOB DISEASE,328
329,SUBACUTE SCLEROSING PANENCEPHALITIS,329
330,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,330
331,OTHER ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM,331
332,ATYPICAL VIRUS INFECTION OF CENTRAL NERVOUS SYSTEM UNSPECIFIED,332
333,SYLVATIC RABIES,333
334,URBAN RABIES,334
335,RABIES UNSPECIFIED,335
336,JAPANESE ENCEPHALITIS,336
337,WESTERN EQUINE ENCEPHALITIS,337
338,EASTERN EQUINE ENCEPHALITIS,338
339,ST LOUIS ENCEPHALITIS,339
340,AUSTRALIAN ENCEPHALITIS,340
341,CALIFORNIA ENCEPHALITIS,341
342,ROCIO VIRUS DISEASE,342
343,OTHER MOSQUITO BORNE VIRAL ENCEPHALITIS,343
344,MOSQUITO BORNE VIRAL ENCEPHALITIS UNSPECIFIED,344
345,FAR EASTERN TICK BORNE ENCEPHALITIS RUSSIAN SPRING SUMMER ENCEPHALITIS,345
346,CENTRAL EUROPEAN TICK BORNE ENCEPHALITIS,346
347,OTHER TICK BORNE VIRAL ENCEPHALITIS,347
348,TICK BORNE VIRAL ENCEPHALITIS UNSPECIFIED,348
349,ENTEROVIRAL ENCEPHALITIS,349
350,ADENOVIRAL ENCEPHALITIS,350
351,ARTHROPOD BORNE VIRAL ENCEPHALITIS UNSPECIFIED,351
352,OTHER SPECIFIED VIRAL ENCEPHALITIS,352
353,UNSPECIFIED VIRAL ENCEPHALITIS,353
354,ENTEROVIRAL MENINGITIS,354
355,ADENOVIRAL MENINGITIS,355
356,LYMPHOCYTIC CHORIOMENINGITIS,356
357,OTHER VIRAL MENINGITIS,357
358,VIRAL MENINGITIS UNSPECIFIED,358
359,ENTEROVIRAL EXANTHEMATOUS FEVER BOSTON EXANTHEM,359
360,EPIDEMIC VERTIGO,360
361,OTHER SPECIFIED VIRAL INFECTIONS OF CENTRAL NERVOUS SYSTEM,361
362,UNSPECIFIED VIRAL INFECTION OF CENTRAL NERVOUS SYSTEM,362
363,DENGUE FEVER CLASSICAL DENGUE,363
364,DENGUE HAEMORRHAGIC FEVER,364
365,CHIKUNGUNYA VIRUS DISEASE,365
366,O NYONG NYONG FEVER,366
367,VENEZUELAN EQUINE FEVER,367
368,WEST NILE VIRUS INFECTION,368
369,RIFT VALLEY FEVER,369
370,OTHER SPECIFIED MOSQUITO BORNE VIRAL FEVERS,370
371,MOSQUITO BORNE VIRAL FEVER UNSPECIFIED,371
372,OROPOUCHE VIRUS DISEASE,372
373,SANDFLY FEVER,373
374,COLORADO TICK FEVER,374
375,OTHER SPECIFIED ARTHROPOD BORNE VIRAL FEVERS,375
376,UNSPECIFIED ARTHROPOD BORNE VIRAL FEVER,376
377,SYLVATIC YELLOW FEVER,377
378,URBAN YELLOW FEVER,378
379,YELLOW FEVER UNSPECIFIED,379
380,JUNIN HAEMORRHAGIC FEVER,380
381,MACHUPO HAEMORRHAGIC FEVER,381
382,LASSA FEVER,382
383,OTHER ARENAVIRAL HAEMORRHAGIC FEVERS,383
384,ARENAVIRAL HAEMORRHAGIC FEVER UNSPECIFIED,384
385,CRIMEAN CONGO HAEMORRHAGIC FEVER,385
386,OMSK HAEMORRHAGIC FEVER,386
387,KYASANUR FOREST DISEASE,387
388,MARBURG VIRUS DISEASE,388
389,EBOLA VIRUS DISEASE,389
390,HAEMORRHAGIC FEVER WITH RENAL SYNDROME,390
391,OTHER SPECIFIED VIRAL HAEMORRHAGIC FEVERS,391
392,UNSPECIFIED VIRAL HAEMORRHAGIC FEVER,392
393,ECZEMA HERPETICUM,393
394,HERPESVIRAL VESICULAR DERMATITIS,394
395,HERPESVIRAL GINGIVOSTOMATITIS AND PHARYNGOTONSILLITIS,395
396,HERPESVIRAL MENINGITIS,396
397,HERPESVIRAL ENCEPHALITIS,397
398,HERPESVIRAL OCULAR DISEASE,398
399,DISSEMINATED HERPESVIRAL DISEASE,399
400,OTHER FORMS OF HERPESVIRAL INFECTION,400
401,HERPESVIRAL INFECTION UNSPECIFIED,401
402,VARICELLA MENINGITIS,402
403,VARICELLA ENCEPHALITIS,403
404,VARICELLA PNEUMONIA,404
405,VARICELLA WITH OTHER COMPLICATIONS,405
406,VARICELLA WITHOUT COMPLICATION,406
407,ZOSTER ENCEPHALITIS,407
408,ZOSTER MENINGITIS,408
409,ZOSTER WITH OTHER NERVOUS SYSTEM INVOLVEMENT,409
410,ZOSTER OCULAR DISEASE,410
411,DISSEMINATED ZOSTER,411
412,ZOSTER WITH OTHER COMPLICATIONS,412
413,ZOSTER WITHOUT COMPLICATION,413
414,SMALLPOX,414
415,MONKEYPOX,415
416,MEASLES COMPLICATED BY ENCEPHALITIS,416
417,MEASLES COMPLICATED BY MENINGITIS,417
418,MEASLES COMPLICATED BY PNEUMONIA,418
419,MEASLES COMPLICATED BY OTITIS MEDIA,419
420,MEASLES WITH INTESTINAL COMPLICATIONS,420
421,MEASLES WITH OTHER COMPLICATIONS,421
422,MEASLES WITHOUT COMPLICATION,422
423,RUBELLA WITH NEUROLOGICAL COMPLICATIONS,423
424,RUBELLA WITH OTHER COMPLICATIONS,424
425,RUBELLA WITHOUT COMPLICATION,425
426,VIRAL WARTS,426
427,OTHER ORTHOPOXVIRUS INFECTIONS,427
428,MOLLUSCUM CONTAGIOSUM,428
429,EXANTHEMA SUBITUM SIXTH DISEASE,429
430,ERYTHEMA INFECTIOSUM FIFTH DISEASE,430
431,ENTEROVIRAL VESICULAR STOMATITIS WITH EXANTHEM,431
432,ENTEROVIRAL VESICULAR PHARYNGITIS,432
433,OTHER SPECIFIED VIRAL INFECTIONS CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS,433
434,UNSPECIFIED VIRAL INFECTION CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS,434
435,HEPATITIS A WITH HEPATIC COMA,435
436,HEPATITIS A WITHOUT HEPATIC COMA,436
437,ACUTE HEPATITIS B WITH DELTA AGENT COINFECTION WITH HEPATIC COMA,437
438,ACUTE HEPATITIS B WITH DELTA AGENT COINFECTION WITHOUT HEPATIC COMA,438
439,ACUTE HEPATITIS B WITHOUT DELTA AGENT WITH HEPATIC COMA,439
440,ACUTE HEPATITIS B WITHOUT DELTA AGENT AND WITHOUT HEPATIC COMA,440
441,ACUTE DELTA SUPER INFECTION OF HEPATITIS B CARRIER,441
442,ACUTE HEPATITIS C,442
443,ACUTE HEPATITIS E,443
444,OTHER SPECIFIED ACUTE VIRAL HEPATITIS,444
445,CHRONIC VIRAL HEPATITIS B WITH DELTA AGENT,445
446,CHRONIC VIRAL HEPATITIS B WITHOUT DELTA AGENT,446
447,CHRONIC VIRAL HEPATITIS C,447
448,OTHER CHRONIC VIRAL HEPATITIS,448
449,CHRONIC VIRAL HEPATITIS UNSPECIFIED,449
450,UNSPECIFIED VIRAL HEPATITIS HEPATIC WITH COMA,450
451,UNSPECIFIED VIRAL HEPATITIS WITHOUT HEPATIC COMA,451
452,HIV DISEASE RESULTING IN MYCOBACTERIAL INFECTION,452
453,HIV DISEASE RESULTING IN OTHER BACTERIAL INFECTIONS,453
454,HIV DISEASE RESULTING IN CYTOMEGALOVIRAL DISEASE,454
455,HIV DISEASE RESULTING IN OTHER VIRAL INFECTIONS,455
456,HIV DISEASE RESULTING IN CANDIDIASIS,456
457,HIV DISEASE RESULTING IN OTHER MYCOSES,457
458,HIV DISEASE RESULTING IN PNEUMOCYSTIS JIROVECII PNEUMONIA,458
459,HIV DISEASE RESULTING IN MULTIPLE INFECTIONS,459
460,HIV DISEASE RESULTING IN OTHER INFECTIOUS AND PARASITIC DISEASES,460
461,HIV DISEASE RESULTING IN UNSPECIFIED INFECTIOUS OR PARASITIC DISEASE,461
462,HIV DISEASE RESULTING IN KAPOSI S SARCOMA,462
463,HIV DISEASE RESULTING IN BURKITT S LYMPHOMA,463
464,HIV DISEASE RESULTING IN OTHER TYPES OF NON HODGKIN S LYMPHOMA,464
465,HIV DISEASE RESULTING IN OTHER MALIGNANT NEOPLASMS OF LYMPHOID HAEMATOPOIETIC AND RELATED TISSUE,465
466,HIV DISEASE RESULTING IN MULTIPLE MALIGNANT NEOPLASMS,466
467,HIV DISEASE RESULTING IN OTHER MALIGNANT NEOPLASMS,467
468,HIV DISEASE RESULTING IN UNSPECIFIED MALIGNANT NEOPLASM,468
